pmid,title,year,doi,cited_by_count,abstract,cluster,cluster_label,cluster_name,study_design
,MCluster-VAEs: An end-to-end variational deep learning-based clustering method for subtype discovery using multi-omics data,2022,10.1016/j.compbiomed.2022.106085,0,,10,"analysis, covid, 19, genes, based",,Other
,Leveraging law and ethics to promote safe and reliable AI/ML in healthcare,2022,10.3389/fnume.2022.983340,0,,13,"artificial, ai, intelligence, based, clinical",,Other
,An Artificial Intelligence-Driven Digital Health Solution to Support Clinical Management of Patients With Long COVID-19: Protocol for a Prospective Multicenter Observational Study,2022,10.2196/37704,0,,13,"artificial, ai, intelligence, based, clinical",,Observational Study
,Automated clinical decision support system with deep learning dose prediction and NTCP models to evaluate treatment complications in patients with esophageal cancer,2022,10.1016/j.radonc.2022.08.031,0,,20,"deep, learning, segmentation, risk, based",,Other
,"High quality, safe healthcare = technology + people + systems thinking",2022,10.1136/bmjhci-2022-100673,0,,9,"data, big, healthcare, care, digital",,Other
,Identify diabetic retinopathy-related clinical concepts and their attributes using transformer-based natural language processing methods,2022,10.1186/s12911-022-01996-2,0,,0,"clinical, using, language, natural, processing",Clinical Decision Support Systems,Other
,"Databases, big data and artificial intelligence: what healthcare professionals need to know about them",2022,10.1590/1516-3180.2022.140611082022,0,,9,"data, big, healthcare, care, digital",,Other
,"Drug-food Interactions in the Era of Molecular Big Data, Machine Intelligence, and Personalized Health",2022,10.2174/2212798412666220620104809,0,,3,"data, mining, based, healthcare, medicine",Implementation and Workflow Integration,Other
,A novel multimodal fusion framework for early diagnosis and accurate classification of COVID-19 patients using X-ray images and speech signal processing techniques,2022,10.1016/j.cmpb.2022.107109,0,,21,"learning, deep, using, covid, 19",,Other
,"Online adaptive radiotherapy of anal cancer: Normal tissue sparing, target propagation methods, and first clinical experience",2022,10.1016/j.radonc.2022.09.015,0,,4,"radiotherapy, learning, planning, deep, cancer",Evaluation Methods and Clinical Trials,Other
,Artificial intelligence empowered digital health technologies in cancer survivorship care: A scoping review,2022,10.1016/j.apjon.2022.100127,0,,13,"artificial, ai, intelligence, based, clinical",,Review Paper
,The pyroptosis-related gene signature predicts prognosis and indicates the immune microenvironment status of chronic lymphocytic leukemia,2022,10.3389/fimmu.2022.939978,0,,15,"cancer, analysis, genes, learning, machine",,Other
,StackPR is a new computational approach for large-scale identification of progesterone receptor antagonists using the stacking strategy,2022,10.1038/s41598-022-20143-5,0,,1,"approach, vitro, fertilization, pharmacology, intelligence",Machine Learning Diagnostic Models,Other
,PICO entity extraction for preclinical animal literature,2022,10.1186/s13643-022-02074-4,0,,0,"clinical, using, language, natural, processing",Clinical Decision Support Systems,Other
,Plasma Metabolomics Reveals Systemic Metabolic Alterations of Subclinical and Clinical Hypothyroidism,2022,10.1210/clinem/dgac555,0,,1,"approach, vitro, fertilization, pharmacology, intelligence",Machine Learning Diagnostic Models,Other
,An introduction to machine learning for classification and prediction,2023,10.1093/fampra/cmac104,0,,18,"learning, machine, prediction, patients, mortality",,Other
,Inductive database to support iterative data mining: Application to biomarker analysis on patient data in the Fight-HF project,2022,10.1016/j.jbi.2022.104212,0,,3,"data, mining, based, healthcare, medicine",Implementation and Workflow Integration,Other
,Niche deconvolution of the glioblastoma proteome reveals a distinct infiltrative phenotype within the proneural transcriptomic subgroup,2022,10.1038/s41597-022-01716-5,0,,15,"cancer, analysis, genes, learning, machine",,Other
,Streaking artifact reduction for CBCT-based synthetic CT generation in adaptive radiotherapy,2023,10.1002/mp.16017,0,,4,"radiotherapy, learning, planning, deep, cancer",Evaluation Methods and Clinical Trials,Other
,A Model of Normality Inspired Deep Learning Framework for Depression Relapse Prediction Using Audiovisual Data,2022,10.1016/j.cmpb.2022.107132,0,,11,"disease, using, alzheimer, network, deep",,Other
,High-Dimensional Analysis of Finger Motion and Screening of Cervical Myelopathy With a Noncontact Sensor: Diagnostic Case-Control Study,2022,10.2196/41327,0,,17,"convolutional, neural, based, network, using",,Other
,Current status and trends in researches based on public intensive care databases: A scientometric investigation,2022,10.3389/fpubh.2022.912151,0,,18,"learning, machine, prediction, patients, mortality",,Other
,Efficient dose-volume histogram-based pretreatment patient-specific quality assurance methodology with combined deep learning and machine learning models for volumetric modulated arc radiotherapy,2022,10.1002/mp.16010,0,,4,"radiotherapy, learning, planning, deep, cancer",Evaluation Methods and Clinical Trials,Other
,Predicting asthma attacks using connected mobile devices and machine learning: the AAMOS-00 observational study protocol,2022,10.1136/bmjopen-2022-064166,0,,18,"learning, machine, prediction, patients, mortality",,Observational Study
,A Novel Tropical Geometry-Based Interpretable Machine Learning Method: Pilot Application to Delivery of Advanced Heart Failure Therapies,2023,10.1109/jbhi.2022.3211765,0,,6,"based, heart, failure, recognition, fusion",,Other
,Machine Learning-Based Exploratory Clinical Decision Support for Newly Diagnosed Patients With Acute Myeloid Leukemia Treated With 7 + 3 Type Chemotherapy or Venetoclax/Azacitidine,2022,10.1200/cci.22.00030,0,,19,"learning, machine, clinical, based, patients",,Other
,Decision support system and outcome prediction in a cohort of patients with necrotizing soft-tissue infections,2022,10.1016/j.ijmedinf.2022.104878,0,,18,"learning, machine, prediction, patients, mortality",,Other
,Deep learning image reconstruction algorithm reduces image noise while alters radiomics features in dual-energy CT in comparison with conventional iterative reconstruction algorithms: a phantom study,2023,10.1007/s00330-022-09119-1,0,,5,"learning, reconstruction, deep, mri, image",Human Factors and Clinical Reasoning,Other
,A novel deep learning approach for sickle cell anemia detection in human RBCs using an improved wrapper-based feature selection technique in microscopic blood smear images,2022,10.1515/bmt-2021-0127,0,,16,"based, image, diagnosis, images, learning",,Other
,Robust deep learning-based forward dose calculations for VMAT on the 1.5T MR-linac,2022,10.1088/1361-6560/ac97d8,0,,4,"radiotherapy, learning, planning, deep, cancer",Evaluation Methods and Clinical Trials,Other
,Explainability in medicine in an era of AI-based clinical decision support systems,2022,10.3389/fgene.2022.903600,0,,13,"artificial, ai, intelligence, based, clinical",,Other
,Automatic classification of medical image modality and anatomical location using convolutional neural network,2021,10.1371/journal.pone.0253205,0,,17,"convolutional, neural, based, network, using",,Other
,A Pilot Study on Automatic Three-Dimensional Quantification of Barrett's Esophagus for Risk Stratification and Therapy Monitoring,2021,10.1053/j.gastro.2021.05.059,0,,20,"deep, learning, segmentation, risk, based",,Implementation Study
,Prediction of False-Positive Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Molecular Results in a High-Throughput Open-Platform System,2021,10.1016/j.jmoldx.2021.05.015,0,,11,"disease, using, alzheimer, network, deep",,Other
,A blood RNA transcriptome signature for COVID-19,2021,10.1186/s12920-021-01006-w,0,,10,"analysis, covid, 19, genes, based",,Other
,Applications of machine learning in the chemical pathology laboratory,2021,10.1136/jclinpath-2021-207393,0,,19,"learning, machine, clinical, based, patients",,Other
,Future of biomarker evaluation in the realm of artificial intelligence algorithms: application in improved therapeutic stratification of patients with breast and prostate cancer,2021,10.1136/jclinpath-2020-207351,0,,15,"cancer, analysis, genes, learning, machine",,Other
,DeepR2cov: deep representation learning on heterogeneous drug networks to discover anti-inflammatory agents for COVID-19,2021,10.1093/bib/bbab226,0,,11,"disease, using, alzheimer, network, deep",,Other
,"Digital health, big data and smart technologies for the care of patients with systemic autoimmune diseases: Where do we stand?",2021,10.1016/j.autrev.2021.102864,0,,9,"data, big, healthcare, care, digital",,Other
,"Image texture, low contrast liver lesion detectability and impact on dose: Deep learning algorithm compared to partial model-based iterative reconstruction",2021,10.1016/j.ejrad.2021.109808,0,,5,"learning, reconstruction, deep, mri, image",Human Factors and Clinical Reasoning,Other
,The State of Machine Learning in Spine Surgery: A Systematic Review,2022,10.1097/bsd.0000000000001208,0,,18,"learning, machine, prediction, patients, mortality",,Review Paper
,Sequential Pattern Mining to Predict Medical In-Hospital Mortality from Administrative Data: Application to Acute Coronary Syndrome,2021,10.1155/2021/5531807,0,,18,"learning, machine, prediction, patients, mortality",,Other
,Monitoring Diagnostic Safety Risks in Emergency Departments: Protocol for a Machine Learning Study,2021,10.2196/24642,0,,18,"learning, machine, prediction, patients, mortality",,Other
,Evaluation of Computer-Aided Nodule Assessment and Risk Yield (CANARY) in Korean patients for prediction of invasiveness of ground-glass opacity nodule,2021,10.1371/journal.pone.0253204,0,,20,"deep, learning, segmentation, risk, based",,Other
,Deep learning for tracing esophageal motility function over time,2021,10.1016/j.cmpb.2021.106212,0,,20,"deep, learning, segmentation, risk, based",,Other
,Proteomics based drug repositioning applied to improve in vitro fertilization implantation: an artificial intelligence model,2021,10.1080/19396368.2021.1928792,0,,1,"approach, vitro, fertilization, pharmacology, intelligence",Machine Learning Diagnostic Models,Other
,Multi-domain clinical natural language processing with MedCAT: The Medical Concept Annotation Toolkit,2021,10.1016/j.artmed.2021.102083,0,,0,"clinical, using, language, natural, processing",Clinical Decision Support Systems,Other
,Simultaneous imputation and classification using Multigraph Geometric Matrix Completion (MGMC): Application to neurodegenerative disease classification,2021,10.1016/j.artmed.2021.102097,0,,11,"disease, using, alzheimer, network, deep",,Other
,"A comprehensive scoping review of Bayesian networks in healthcare: Past, present and future",2021,10.1016/j.artmed.2021.102108,0,,13,"artificial, ai, intelligence, based, clinical",,Review Paper
,Abdominal multi-organ segmentation with cascaded convolutional and adversarial deep networks,2021,10.1016/j.artmed.2021.102109,0,,20,"deep, learning, segmentation, risk, based",,Other
,A new approach for interpretability and reliability in clinical risk prediction: Acute coronary syndrome scenario,2021,10.1016/j.artmed.2021.102113,0,,18,"learning, machine, prediction, patients, mortality",,Other
,AI-guided discovery of the invariant host response to viral pandemics,2021,10.1016/j.ebiom.2021.103390,0,,11,"disease, using, alzheimer, network, deep",,Other
,Ascertaining Framingham heart failure phenotype from inpatient electronic health record data using natural language processing: a multicentre Atherosclerosis Risk in Communities (ARIC) validation study,2021,10.1136/bmjopen-2020-047356,0,,0,"clinical, using, language, natural, processing",Clinical Decision Support Systems,Diagnostic Accuracy Study
,Inter-vendor performance of deep learning in segmenting acute ischemic lesions on diffusion-weighted imaging: a multicenter study,2021,10.1038/s41598-021-91467-x,0,,5,"learning, reconstruction, deep, mri, image",Human Factors and Clinical Reasoning,Other
,A simulation-based evaluation of machine learning models for clinical decision support: application and analysis using hospital readmission,2021,10.1038/s41746-021-00468-7,0,,19,"learning, machine, clinical, based, patients",,Other
,3D brain glioma segmentation in MRI through integrating multiple densely connected 2D convolutional neural networks,2021,10.1631/jzus.b2000381,0,,8,"segmentation, deep, learning, detection, brain",,Other
,Free-breathing Accelerated Cardiac MRI Using Deep Learning: Validation in Children and Young Adults,2021,10.1148/radiol.2021202624,0,,7,"learning, deep, cardiac, intelligence, artificial",,Other
,Cancer Grade Model: a multi-gene machine learning-based risk classification for improving prognosis in breast cancer,2021,10.1038/s41416-021-01455-1,0,,15,"cancer, analysis, genes, learning, machine",,Other
,Deep-learning models for the detection and incidence prediction of chronic kidney disease and type 2 diabetes from retinal fundus images,2021,10.1038/s41551-021-00745-6,0,,16,"based, image, diagnosis, images, learning",,Other
,Synthetic data in machine learning for medicine and healthcare,2021,10.1038/s41551-021-00751-8,0,,3,"data, mining, based, healthcare, medicine",Implementation and Workflow Integration,Other
,Brain MRI Deep Learning and Bayesian Inference System Augments Radiology Resident Performance,2021,10.1007/s10278-021-00470-1,0,,5,"learning, reconstruction, deep, mri, image",Human Factors and Clinical Reasoning,Other
,Non-invasive measurement of PD-L1 status and prediction of immunotherapy response using deep learning of PET/CT images,2021,10.1136/jitc-2020-002118,0,,20,"deep, learning, segmentation, risk, based",,Other
,Artificial intelligence in perioperative management of major gastrointestinal surgeries,2021,10.3748/wjg.v27.i21.2758,0,,18,"learning, machine, prediction, patients, mortality",,Other
,A time-resolved proteomic and prognostic map of COVID-19,2021,10.1016/j.cels.2021.05.005,0,,10,"analysis, covid, 19, genes, based",,Other
,Deep learning for diagnosis and survival prediction in soft tissue sarcoma,2021,10.1016/j.annonc.2021.06.007,0,,21,"learning, deep, using, covid, 19",,Other
,Development and application of the ocular immune-mediated inflammatory diseases ontology enhanced with synonyms from online patient support forum conversation,2021,10.1016/j.compbiomed.2021.104542,0,,0,"clinical, using, language, natural, processing",Clinical Decision Support Systems,Other
,Single-cell RNA-seq reveals fibroblast heterogeneity and increased mesenchymal fibroblasts in human fibrotic skin diseases,2021,10.1038/s41467-021-24110-y,0,,14,"network, cell, human, rna, remodeling",,Other
,The Application and Development of Deep Learning in Radiotherapy: A Systematic Review,2021,10.1177/15330338211016386,0,,4,"radiotherapy, learning, planning, deep, cancer",Evaluation Methods and Clinical Trials,Review Paper
,Superior objective and subjective image quality of deep learning reconstruction for low-dose abdominal CT imaging in comparison with model-based iterative reconstruction and filtered back projection,2021,10.1259/bjr.20201357,0,,5,"learning, reconstruction, deep, mri, image",Human Factors and Clinical Reasoning,Other
,RCoNet: Deformable Mutual Information Maximization and High-Order Uncertainty-Aware Learning for Robust COVID-19 Detection,2021,10.1109/tnnls.2021.3086570,0,,21,"learning, deep, using, covid, 19",,Other
,Breast ultrasound tumor image classification using image decomposition and fusion based on adaptive multi-model spatial feature fusion,2021,10.1016/j.cmpb.2021.106221,0,,16,"based, image, diagnosis, images, learning",,Other
,"Leveraging big data for pattern recognition of socio-demographic and climatic factors in correlation with eye disorders in Telangana State, India",2021,10.4103/ijo.ijo_3418_20,0,,0,"clinical, using, language, natural, processing",Clinical Decision Support Systems,Other
,Exploring patients' pharmacy stories: an analysis of online feedback,2021,10.1007/s11096-021-01287-2,0,,0,"clinical, using, language, natural, processing",Clinical Decision Support Systems,Other
,Mucosal Biofilms Are an Endoscopic Feature of Irritable Bowel Syndrome and Ulcerative Colitis,2021,10.1053/j.gastro.2021.06.024,0,,17,"convolutional, neural, based, network, using",,Other
,Identification and validation of inferior prognostic genes associated with immune signatures and chemotherapy outcome in acute myeloid leukemia,2021,10.18632/aging.203166,0,,15,"cancer, analysis, genes, learning, machine",,Other
,External validation of integrated genetic-epigenetic biomarkers for predicting incident coronary heart disease,2021,10.2217/epi-2021-0123,0,,10,"analysis, covid, 19, genes, based",,Other
,Genomic and epigenomic biomarkers in colorectal cancer: From diagnosis to therapy,2021,10.1016/bs.acr.2021.02.008,0,,15,"cancer, analysis, genes, learning, machine",,Other
,"Reducing variability among treatment machines using knowledge-based planning for head and neck, pancreatic, and rectal cancer",2021,10.1002/acm2.13316,0,,4,"radiotherapy, learning, planning, deep, cancer",Evaluation Methods and Clinical Trials,Other
,A network pharmacology approach to determine the underlying mechanisms of action of Yishen Tongluo formula for the treatment of oligoasthenozoospermia,2021,10.1371/journal.pone.0252906,0,,1,"approach, vitro, fertilization, pharmacology, intelligence",Machine Learning Diagnostic Models,Other
,Machine learning and network-based models to identify genetic risk factors to the progression and survival of colorectal cancer,2021,10.1016/j.compbiomed.2021.104539,0,,15,"cancer, analysis, genes, learning, machine",,Other
,Drug repurposing: Iron in the fire for older drugs,2021,10.1016/j.biopha.2021.111638,0,,3,"data, mining, based, healthcare, medicine",Implementation and Workflow Integration,Other
,Effective deep learning approaches for predicting COVID-19 outcomes from chest computed tomography volumes,2022,10.1038/s41598-022-05532-0,0,,21,"learning, deep, using, covid, 19",,Other
,Dynamic Bayesian networks for prediction of health status and treatment effect in patients with chronic lymphocytic leukemia,2022,10.1038/s41598-022-05813-8,0,,13,"artificial, ai, intelligence, based, clinical",,Other
,Incorporating uncertainty in learning to defer algorithms for safe computer-aided diagnosis,2022,10.1038/s41598-022-05725-7,0,,18,"learning, machine, prediction, patients, mortality",,Other
,Artificial Intelligence Algorithm-Based MRI in Evaluating the Treatment Effect of Acute Cerebral Infarction,2022,10.1155/2022/7839922,0,,7,"learning, deep, cardiac, intelligence, artificial",,Randomized Controlled Trial
,A machine-learning-based algorithm improves prediction of preeclampsia-associated adverse outcomes,2022,10.1016/j.ajog.2022.01.026,0,,18,"learning, machine, prediction, patients, mortality",,Other
,Inferring protein expression changes from mRNA in Alzheimer's dementia using deep neural networks,2022,10.1038/s41467-022-28280-1,0,,11,"disease, using, alzheimer, network, deep",,Other
,Semantic segmentation of COVID-19 lesions with a multiscale dilated convolutional network,2022,10.1038/s41598-022-05527-x,0,,21,"learning, deep, using, covid, 19",,Other
,Identification of Inflammation-Related Biomarker Pro-ADM for Male Patients With Gout by Comprehensive Analysis,2022,10.3389/fimmu.2021.798719,0,,10,"analysis, covid, 19, genes, based",,Other
,COVID-19 Detection Based on Lung Ct Scan Using Deep Learning Techniques,2022,10.1155/2022/7672196,0,,21,"learning, deep, using, covid, 19",,Other
,Data-independent acquisition-based proteomics analysis correlating type 2 diabetes mellitus with osteoarthritis in total knee arthroplasty patients,2022,10.1097/md.0000000000028738,0,,10,"analysis, covid, 19, genes, based",,Other
,Novel diagnostic model for bone metastases in renal cell carcinoma patients based on bone scintigraphy analyzed by computer-aided diagnosis software and bone turnover markers,2022,10.1007/s10147-021-02107-3,0,,16,"based, image, diagnosis, images, learning",,Other
,Studying patterns and predictors of HIV viral suppression using A Big Data approach: a research protocol,2022,10.1186/s12879-022-07047-5,0,,9,"data, big, healthcare, care, digital",,Other
,Hierarchical graph attention network for miRNA-disease association prediction,2022,10.1016/j.ymthe.2022.01.041,0,,10,"analysis, covid, 19, genes, based",,Other
,Developing machine learning models for prediction of mortality in the medical intensive care unit,2022,10.1016/j.cmpb.2022.106663,0,,18,"learning, machine, prediction, patients, mortality",,Other
,Clinical evaluation of two AI models for automated breast cancer plan generation,2022,10.1186/s13014-022-01993-9,0,,15,"cancer, analysis, genes, learning, machine",,Other
,Gastrointestinal stromal tumors diagnosis on multi-center endoscopic ultrasound images using multi-scale image normalization and transfer learning,2022,10.3233/thc-228005,0,,16,"based, image, diagnosis, images, learning",,Other
,Subtyping of Human Papillomavirus-Positive Cervical Cancers Based on the Expression Profiles of 50 Genes,2022,10.3389/fimmu.2022.801639,0,,15,"cancer, analysis, genes, learning, machine",,Other
,Medical Data Acquisition and Internet of Things Technology-Based Cerebral Stroke Disease Prevention and Rehabilitation Nursing Mobile Medical Management System,2022,10.1155/2022/4646454,0,,9,"data, big, healthcare, care, digital",,Other
,Artificial Intelligence Algorithm-Based Computed Tomography Image of Both Kidneys in Diagnosis of Renal Dysplasia,2022,10.1155/2022/5823720,0,,16,"based, image, diagnosis, images, learning",,Other
,Three-Dimensional Skin CT Based on Intelligent Algorithm in the Analysis of Skin Lesion Sites Features in Children with Psoriasis,2022,10.1155/2022/8195243,0,,16,"based, image, diagnosis, images, learning",,Other
,Rectified Classifier Chains for Prediction of Antibiotic Resistance From Multi-Labelled Data With Missing Labels,2023,10.1109/tcbb.2022.3148577,0,,3,"data, mining, based, healthcare, medicine",Implementation and Workflow Integration,Other
,A network pharmacology approach to explore active compounds and pharmacological mechanisms of a patented Chinese herbal medicine in the treatment of endometriosis,2022,10.1371/journal.pone.0263614,0,,1,"approach, vitro, fertilization, pharmacology, intelligence",Machine Learning Diagnostic Models,Other
,Identifying Obstructive Sleep Apnea Syndrome-Associated Genes and Pathways through Weighted Gene Coexpression Network Analysis,2022,10.1155/2022/3993509,0,,10,"analysis, covid, 19, genes, based",,Other
,Intelligent Algorithm-Based Quantitative Electroencephalography in Evaluating Cerebral Small Vessel Disease Complicated by Cognitive Impairment,2022,10.1155/2022/9398551,0,,7,"learning, deep, cardiac, intelligence, artificial",,Other
,Development and validation of a deep learning-based algorithm for colonoscopy quality assessment,2022,10.1007/s00464-021-08993-y,0,,17,"convolutional, neural, based, network, using",,Other
,Computer-Aided Diagnosis of Vertebral Compression Fractures Using Convolutional Neural Networks and Radiomics,2022,10.1007/s10278-022-00586-y,0,,17,"convolutional, neural, based, network, using",,Other
,Automated extraction of genes associated with antibiotic resistance from the biomedical literature,2022,10.1093/database/baab077,0,,3,"data, mining, based, healthcare, medicine",Implementation and Workflow Integration,Other
,Corrigendum to: Predicting Malignancy in Pediatric Thyroid Nodules: Early Experience With Machine Learning for Clinical Decision Support,2022,10.1210/clinem/dgac027,0,,21,"learning, deep, using, covid, 19",,Other
,Weather variables as important clinical predictors of bacterial diarrhoea among international travellers,2022,10.1093/jtm/taac012,0,,18,"learning, machine, prediction, patients, mortality",,Other
,U-net architecture with embedded Inception-ResNet-v2 image encoding modules for automatic segmentation of organs-at-risk in head and neck cancer radiation therapy based on computed tomography scans,2022,10.1088/1361-6560/ac530e,0,,20,"deep, learning, segmentation, risk, based",,Other
,Evaluation of Doc'EDS: a French semantic search tool to query health documents from a clinical data warehouse,2022,10.1186/s12911-022-01762-4,0,,0,"clinical, using, language, natural, processing",Clinical Decision Support Systems,Other
,Volatile organic compound profiling to explore primary graft dysfunction after lung transplantation,2022,10.1038/s41598-022-05994-2,0,,3,"data, mining, based, healthcare, medicine",Implementation and Workflow Integration,Other
,Big Data in electrophysiology,2022,10.1007/s00399-022-00837-z,0,,9,"data, big, healthcare, care, digital",,Other
,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review,2022,10.2196/32392,0,,9,"data, big, healthcare, care, digital",,Review Paper
,A recurrent machine learning model predicts intracranial hypertension in neurointensive care patients,2022,10.1093/brain/awab453,0,,7,"learning, deep, cardiac, intelligence, artificial",,Other
,Nudging within learning health systems: next generation decision support to improve cardiovascular care,2022,10.1093/eurheartj/ehac030,0,,9,"data, big, healthcare, care, digital",,Other
,Targeted proteomics improves cardiovascular risk prediction in secondary prevention,2022,10.1093/eurheartj/ehac055,0,,10,"analysis, covid, 19, genes, based",,Other
,Convolutional mesh autoencoders for the 3-dimensional identification of FGFR-related craniosynostosis,2022,10.1038/s41598-021-02411-y,0,,17,"convolutional, neural, based, network, using",,Other
,Fused feature signatures to probe tumour radiogenomics relationships,2022,10.1038/s41598-022-06085-y,0,,2,"radiomics, radiogenomics, review, lung, cancer",Probabilistic Diagnostic Reasoning,Other
,CX3CR1 Acts as a Protective Biomarker in the Tumor Microenvironment of Colorectal Cancer,2022,10.3389/fimmu.2021.758040,0,,15,"cancer, analysis, genes, learning, machine",,Other
,Account of Deep Learning-Based Ultrasonic Image Feature in the Diagnosis of Severe Sepsis Complicated with Acute Kidney Injury,2022,10.1155/2022/8158634,0,,16,"based, image, diagnosis, images, learning",,Other
,A protocol for investigating lipidomic dysregulation and discovering lipid biomarkers from human serums,2022,10.1016/j.xpro.2022.101125,0,,10,"analysis, covid, 19, genes, based",,Other
,"Operationalizing and Implementing Pretrained, Large Artificial Intelligence Linguistic Models in the US Health Care System: Outlook of Generative Pretrained Transformer 3 (GPT-3) as a Service Model",2022,10.2196/32875,0,,0,"clinical, using, language, natural, processing",Clinical Decision Support Systems,Other
,Decision Support Systems in HF based on Deep Learning Technologies,2022,10.1007/s11897-022-00540-7,0,,12,"clinical, knowledge, support, decision, based",,Other
,Deep Graph Learning for Anomalous Citation Detection,2022,10.1109/tnnls.2022.3145092,0,,21,"learning, deep, using, covid, 19",,Other
,Radiogenomics in personalized management of lung cancer patients: Where are we?,2022,10.1016/j.clinimag.2022.01.012,0,,2,"radiomics, radiogenomics, review, lung, cancer",Probabilistic Diagnostic Reasoning,Other
,Comparison of manual and automated digital image analysis systems for quantification of cellular protein expression,2022,10.14670/hh-18-434,0,,21,"learning, deep, using, covid, 19",,Other
,Evaluating the clinical acceptability of deep learning contours of prostate and organs-at-risk in an automated prostate treatment planning process,2022,10.1002/mp.15525,0,,4,"radiotherapy, learning, planning, deep, cancer",Evaluation Methods and Clinical Trials,Other
,TAPASS: Tool for annotation of protein amyloidogenicity in the context of other structural states,2022,10.1016/j.jsb.2022.107840,0,,11,"disease, using, alzheimer, network, deep",,Other
,CT2US: Cross-modal transfer learning for kidney segmentation in ultrasound images with synthesized data,2022,10.1016/j.ultras.2022.106706,0,,20,"deep, learning, segmentation, risk, based",,Other
,Classifying relations in clinical narratives using segment graph convolutional and recurrent neural networks (Seg-GCRNs),2019,10.1093/jamia/ocy157,0,,0,"clinical, using, language, natural, processing",Clinical Decision Support Systems,Other
,A multitask bi-directional RNN model for named entity recognition on Chinese electronic medical records,2018,10.1186/s12859-018-2467-9,0,,0,"clinical, using, language, natural, processing",Clinical Decision Support Systems,Other
