PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41795653","Artificial intelligence-enabled multi-scale virtual cell: perspective, challenges, and opportunities","Jiang H, Huang X, Bi X, Ma W, Ni H, Wei Z, Sun P, Zhang H, Zhang S.","Brief Bioinform. 2026 Mar 1;27(2):bbag104. doi: 10.1093/bib/bbag104.","Jiang H","Brief Bioinform","2026","2026/03/08","PMC12967334","","10.1093/bib/bbag104"
"41793537","Harnessing bacterial power and omics technologies for sustainable plastic waste biodegradation","Henawy AR, Ismail SM, Gharib S, Elarabi NI, Abdelhadi AA, Halema AA.","Biodegradation. 2026 Mar 7;37(2):46. doi: 10.1007/s10532-026-10258-1.","Henawy AR","Biodegradation","2026","2026/03/07","PMC12967654","","10.1007/s10532-026-10258-1"
"41791723","Systems-Level Insights Into Microbial Naphthalene Biodegradation: An Integrated In Silico and Omics Perspective","Raj A, Pant A, Kumar A, Kumar A, Kalamdhad AS, Khwairakpam M.","Environ Microbiol. 2026 Mar;28(3):e70264. doi: 10.1111/1462-2920.70264.","Raj A","Environ Microbiol","2026","2026/03/06","","","10.1111/1462-2920.70264"
"41790300","Artificial Intelligence and Machine Learning Applications in Fibromuscular Dysplasia: Transforming Diagnosis, Risk Stratification, and Clinical Decision-Making","Hamza A, Faiz M, Iftikhar A, Badal B, Qamar S, Ali E, Usman M, Talha M, Un Nisa N, Mujtaba A, Butt A, Talat NF, Ashraf A.","J Cardiovasc Transl Res. 2026 Mar 6;19(1):35. doi: 10.1007/s12265-026-10760-0.","Hamza A","J Cardiovasc Transl Res","2026","2026/03/06","","","10.1007/s12265-026-10760-0"
"41789607","Artificial Intelligence in Colon Cancer: Advances, Challenges, and Future Perspectives","Bitere OA, Minciuna CE, Andras C, Almarii F, Andrei-Bitere I, Manuc T, Tonea A, Dima SO, Croitoru A, Herlea V, Vasilescu C.","Chirurgia (Bucur). 2026 Feb;121(1):13-26. doi: 10.21614/chirurgia.3240.","Bitere OA","Chirurgia (Bucur)","2026","2026/03/06","","","10.21614/chirurgia.3240"
"41785737","From algorithmic innovation to clinical deployment: A systematic review of methodological gaps limiting federated learning in healthcare","Vijayasarathy S.","Int J Med Inform. 2026 Mar 1;213:106365. doi: 10.1016/j.ijmedinf.2026.106365. Online ahead of print.","Vijayasarathy S","Int J Med Inform","2026","2026/03/05","","","10.1016/j.ijmedinf.2026.106365"
"41783894","Beyond the hype: navigating the real-world applications of artificial intelligence (AI) in healthcare","Fung MC.","Med Rev (2021). 2026 Jan 29;6(1):14-34. doi: 10.1515/mr-2025-0074. eCollection 2026 Feb.","Fung MC","Med Rev (2021)","2026","2026/03/05","PMC12955354","","10.1515/mr-2025-0074"
"41776108","AI-driven multiscale virtual plant cell modeling: from molecular mechanisms to tissue functions","Liu Z, Sun X.","Planta. 2026 Mar 3;263(4):88. doi: 10.1007/s00425-026-04948-6.","Liu Z","Planta","2026","2026/03/03","","","10.1007/s00425-026-04948-6"
"41775478","Performance validation of an artificial intelligence-assisted chest radiograph algorithm for incidental pulmonary nodule detection in Malaysian healthcare facilities: a multicentre cross-sectional study protocol","Megat Ramli PN, Ahmad N, Aizuddin AN, Abdul Hamid Z.","BMJ Open. 2026 Mar 3;16(3):e103331. doi: 10.1136/bmjopen-2025-103331.","Megat Ramli PN","BMJ Open","2026","2026/03/03","PMC12959033","","10.1136/bmjopen-2025-103331"
"41775410","Enabling digital multifactorial risk assessment in primary care: an umbrella review and recommendations for design and implementation","Taylor LC, Peek N, Ercole A, Lyratzopoulos G, Usher-Smith JA.","BMJ Health Care Inform. 2026 Mar 3;33(1):e101896. doi: 10.1136/bmjhci-2025-101896.","Taylor LC","BMJ Health Care Inform","2026","2026/03/03","PMC12958886","","10.1136/bmjhci-2025-101896"
"41775347","Artificial Intelligence and Big Data in Urological Oncology: From Radiomics to Real-World Evidence","Katsimperis S, Tzelves L, Kyriazis I, Neofytou P, Kapsalos-Dedes S, Feretzakis G, Skolarikos A.","Arch Esp Urol. 2026 Jan;79(1):1-12. doi: 10.56434/j.arch.esp.urol.20267901.1.","Katsimperis S","Arch Esp Urol","2026","2026/03/03","","","10.56434/j.arch.esp.urol.20267901.1"
"41764831","Advances and challenges in the application of metagenomic sequencing for the diagnosis and treatment of infectious diseases: from pathogen spectrum identification to personalized antimicrobial strategies","Peng X, Zhang L.","Diagn Microbiol Infect Dis. 2026 Jun;115(2):117321. doi: 10.1016/j.diagmicrobio.2026.117321. Epub 2026 Feb 16.","Peng X","Diagn Microbiol Infect Dis","2026","2026/03/01","","","10.1016/j.diagmicrobio.2026.117321"
"41762205","Robustness and Accuracy of Radiomics Models for Classifying IASLC Grading in Lung Adenocarcinomas: A Comprehensive Analysis of a Large Multicenter CT Database","Fan X, Deng J, Feng Y, Qi W, Lin S, Zeng Y, Zuo Z.","Technol Cancer Res Treat. 2026 Jan-Dec;25:15330338261429796. doi: 10.1177/15330338261429796. Epub 2026 Feb 28.","Fan X","Technol Cancer Res Treat","2026","2026/02/28","PMC12954028","","10.1177/15330338261429796"
"41760398","AI-enhanced therapeutic drug monitoring for vancomycin and β-lactam antibiotics in critical care: from population PK to bedside algorithms","Al Meslamani AZ, Jarab AS, Merghani Ali Mohammed E.","Expert Rev Clin Pharmacol. 2026 Mar;19(3):239-254. doi: 10.1080/17512433.2026.2638352. Epub 2026 Mar 2.","Al Meslamani AZ","Expert Rev Clin Pharmacol","2026","2026/02/27","","","10.1080/17512433.2026.2638352"
"41758880","Distinguishing post-COVID from long-COVID in adults: Development and validation of a biomarker signature using targeted proteomics and machine learning in a cross-sectional observational study","Meyer F, Traidl S, Ameri M, Dreher A, Abu-Rashed-Kufs N, Vontobel J, Möhrenschlager M, Duchna HW, Sandberg F, Brüggen MC.","PLoS One. 2026 Feb 27;21(2):e0338451. doi: 10.1371/journal.pone.0338451. eCollection 2026.","Meyer F","PLoS One","2026","2026/02/27","PMC12948100","","10.1371/journal.pone.0338451"
"41758481","Artificial intelligence to investigate metabolomics data for precision medicine","Shenouda A, Senthilkumar S, Mourad Y, Xie J, Peker E, Zeeshan S, Ahmed Z.","Metabolomics. 2026 Feb 27;22(2):29. doi: 10.1007/s11306-026-02401-z.","Shenouda A","Metabolomics","2026","2026/02/27","PMC12948907","","10.1007/s11306-026-02401-z"
"41758169","Barriers to Designing Inclusive Ecological Momentary Assessment and Wearable Data Collection Protocols for AI-Driven Substance Use Monitoring in Hawai'i","Sun Y, Jaiswal A, Kargarandehkordi A, Slade C, Benzo RM, Phillips KT, Washington P.","Pac Symp Biocomput. 2026;31:566-579. doi: 10.1142/9789819824755_0041.","Sun Y","Pac Symp Biocomput","2026","2026/02/27","","","10.1142/9789819824755_0041"
"41755684","Computer-Assisted Performance-Based Assessment for Mental Health: A Scoping Review","Li H, Li S.","Psych J. 2026 Apr;15(2):e70086. doi: 10.1002/pchj.70086.","Li H","Psych J","2026","2026/02/27","PMC12946823","","10.1002/pchj.70086"
"41755596","[Research progress in RNA secondary structure prediction methods]","Hao Z, Yang Y, Zhao H, Zhou L, Yao X, Wu T.","Sheng Wu Gong Cheng Xue Bao. 2025 Dec 26;42(2):611-631. doi: 10.13345/j.cjb.250791.","Hao Z","Sheng Wu Gong Cheng Xue Bao","2025","2026/02/27","","","10.13345/j.cjb.250791"
"41754007","Recent Advances in AI and GenAI for Health Informatics","Ao SI, Palade V, Holt C, Araujo S, Gourlay M, Kapetanovic D.","Healthcare (Basel). 2026 Feb 14;14(4):495. doi: 10.3390/healthcare14040495.","Ao SI","Healthcare (Basel)","2026","2026/02/27","PMC12941142","","10.3390/healthcare14040495"
"41753973","Application of Artificial Intelligence in Nursing: A Bibliometric Analysis of Global Research Trends","Suen LKP, Zhou J, Chen S, He Q, Tsang MCM, Leung WKC, Lam SC.","Healthcare (Basel). 2026 Feb 12;14(4):460. doi: 10.3390/healthcare14040460.","Suen LKP","Healthcare (Basel)","2026","2026/02/27","PMC12940271","","10.3390/healthcare14040460"
"41751617","Alzheimer's 2030: From Precision Genomics to Artificial Intelligence","D'Argenio V, Tomaiuolo R, Bargeri S, Sancesario G.","Genes (Basel). 2026 Feb 12;17(2):233. doi: 10.3390/genes17020233.","D'Argenio V","Genes (Basel)","2026","2026/02/27","PMC12940287","","10.3390/genes17020233"
"41751614","CRISPR-Mediated Silkworm: The Oncoming Agricultural Revolutions and a Rising Model Organism","Sun Q, Guo Y, Wang L, Jia L, Wei P, Ma S.","Genes (Basel). 2026 Feb 12;17(2):230. doi: 10.3390/genes17020230.","Sun Q","Genes (Basel)","2026","2026/02/27","PMC12941003","","10.3390/genes17020230"
"41750401","Graph Learning in Bioinformatics: A Survey of Graph Neural Network Architectures, Biological Graph Construction and Bioinformatics Applications","Deng L, Dong Z, Yang Z, Gong B, Zhang L.","Biomolecules. 2026 Feb 23;16(2):333. doi: 10.3390/biom16020333.","Deng L","Biomolecules","2026","2026/02/27","PMC12938586","","10.3390/biom16020333"
"41750267","Bioinformatics-Driven, Plant-Based Antibiotic Research Against Quorum Sensing and Biofilm Formation in Pseudomonas aeruginosa and Escherichia coli Multiresistant Microbes","Rosignoli S, Lustrino E, Shevchuk O, Rinaldo S, Rubini E, Paiardini A, Carev I.","Biomolecules. 2026 Jan 27;16(2):197. doi: 10.3390/biom16020197.","Rosignoli S","Biomolecules","2026","2026/02/27","PMC12938168","","10.3390/biom16020197"
"41747335","Applied immunoinformatics in modern vaccine design: a comprehensive review of available computational tools","Miles S, Mourglia-Ettlin G, Chabalgoity JA.","Vaccine. 2026 Apr 2;77:128392. doi: 10.1016/j.vaccine.2026.128392. Epub 2026 Feb 25.","Miles S","Vaccine","2026","2026/02/26","","","10.1016/j.vaccine.2026.128392"
"41745369","Model-Informed Precision Dosing: Conceptual Framework for Therapeutic Drug Monitoring Integrating Machine Learning and Artificial Intelligence Within Population Health Informatics","Le J, Le HN, Nguyen G, Kim R, Avedissian SN, Vo C, Le BH, Nguyen TH, Nguyen DT, Do DH, Le B, Nguyen AP, Tran T, Phung CK, Vu DAM, Singh K, Sitapati AM.","J Pers Med. 2026 Jan 31;16(2):76. doi: 10.3390/jpm16020076.","Le J","J Pers Med","2026","2026/02/26","PMC12941472","","10.3390/jpm16020076"
"41744274","Structure first - exploration and discovery with cryo-electron microscopy","Leung MR.","J Cell Sci. 2026 Feb 15;139(4):jcs264215. doi: 10.1242/jcs.264215. Epub 2026 Feb 26.","Leung MR","J Cell Sci","2026","2026/02/26","PMC12967142","","10.1242/jcs.264215"
"41740271","MRI-based deep learning and radiomics for preoperative prediction of P53abn endometrial cancer: A multicenter study","Wang K, Song X, Liu X, Lin X, Luo H, Gou X, Hong N, Wang Y, Zhou R, Cheng J.","Eur J Radiol. 2026 May;198:112745. doi: 10.1016/j.ejrad.2026.112745. Epub 2026 Feb 21.","Wang K","Eur J Radiol","2026","2026/02/25","","","10.1016/j.ejrad.2026.112745"
"41740269","Non-invasive prediction of Ki-67 expression in gastric cancer using AI-based dual-energy CT: a multicenter study","Chen Y, You Y, Yuan M, Fan S, Fan Y, Tian X, Zheng Y, Li Y, Sun X, Liu Y, Gao J.","Eur J Radiol. 2026 May;198:112742. doi: 10.1016/j.ejrad.2026.112742. Epub 2026 Feb 19.","Chen Y","Eur J Radiol","2026","2026/02/25","","","10.1016/j.ejrad.2026.112742"
"41737622","The role and future of the population health observatory: advancing public health intelligence in Saudi Arabia","Al Eissa MM, Aloufi ME, Eskandarani A, Alshehri AM, Alrwois MM, AlMazni YA, Alomary SA, Assiri A, AlAbdulaali M.","Front Public Health. 2026 Feb 9;14:1758899. doi: 10.3389/fpubh.2026.1758899. eCollection 2026.","Al Eissa MM","Front Public Health","2026","2026/02/25","PMC12926368","","10.3389/fpubh.2026.1758899"
"41734832","Emerging biomarkers in melanoma: Bridging molecular discovery and precision oncology","Xu S, Huang Z, Li Y, Lu L, Ma W.","Cancer Lett. 2026 May 1;645:218359. doi: 10.1016/j.canlet.2026.218359. Epub 2026 Feb 22.","Xu S","Cancer Lett","2026","2026/02/24","","","10.1016/j.canlet.2026.218359"
"41728717","Non-Invasive Techniques for Early Alzheimer's Disease Detection: A Survey","Franco A, Zayene MA, Basly H, Sayadi FE.","Stud Health Technol Inform. 2025 Oct 3;330:695-713. doi: 10.3233/SHTI251458.","Franco A","Stud Health Technol Inform","2025","2026/02/23","","","10.3233/SHTI251458"
"41728706","On the Use of Generative AI in Clinical Prediction - A European Perspective","Braun A, Dilmaghani S, Felstead HL.","Stud Health Technol Inform. 2025 Oct 3;330:459-478. doi: 10.3233/SHTI251445.","Braun A","Stud Health Technol Inform","2025","2026/02/23","","","10.3233/SHTI251445"
"41726084","Exploring evaluation measures of large language models for family caregiver use: A scoping review","Han S, Cho H, Choi YK, Alexander GL.","Digit Health. 2026 Feb 17;12:20552076261425343. doi: 10.1177/20552076261425343. eCollection 2026 Jan-Dec.","Han S","Digit Health","2026","2026/02/23","PMC12921177","","10.1177/20552076261425343"
"41724543","To CADe or not to CADe - evidence for the benefit of CAD for increased yield of colonoscopy","Rerknimitr R.","Best Pract Res Clin Gastroenterol. 2026 Feb;80:102091. doi: 10.1016/j.bpg.2026.102091. Epub 2026 Jan 23.","Rerknimitr R","Best Pract Res Clin Gastroenterol","2026","2026/02/22","","","10.1016/j.bpg.2026.102091"
"41724537","Optical diagnosis of histopathology- is it implementable in the world of artificial intelligence?","Cheloff AZ, Chetlur P, Kagan EB, Gross SA.","Best Pract Res Clin Gastroenterol. 2026 Feb;80:102044. doi: 10.1016/j.bpg.2025.102044. Epub 2025 Aug 7.","Cheloff AZ","Best Pract Res Clin Gastroenterol","2026","2026/02/22","","","10.1016/j.bpg.2025.102044"
"41724535","Role of CADx in colonoscopy: lessons from real-life studies","Bustamante-Balén M.","Best Pract Res Clin Gastroenterol. 2026 Feb;80:102020. doi: 10.1016/j.bpg.2025.102020. Epub 2025 May 23.","Bustamante-Balén M","Best Pract Res Clin Gastroenterol","2026","2026/02/22","","","10.1016/j.bpg.2025.102020"
"41723992","Honey microbiome as a source of bioactive metabolites: the role of the microorganisms and the influence of physicochemical parameters","Błońska D, Szumski M, Buszewski B.","J Chromatogr A. 2026 Apr 12;1772:466820. doi: 10.1016/j.chroma.2026.466820. Epub 2026 Feb 18.","Błońska D","J Chromatogr A","2026","2026/02/22","","","10.1016/j.chroma.2026.466820"
"41723899","Transformer-based architectures in MRI brain tumor segmentation: A review","Jin C, Noor NSEM, Ng TF, Asaari MSM, Ibrahim H.","Comput Med Imaging Graph. 2026 Mar;129:102729. doi: 10.1016/j.compmedimag.2026.102729. Epub 2026 Feb 20.","Jin C","Comput Med Imaging Graph","2026","2026/02/22","","","10.1016/j.compmedimag.2026.102729"
"41718741","A prospective multicenter study on plasma metabolomics and machine learning for diagnosing premature ejaculation and predicting dapoxetine treatment response","Luan J, Shao W, Xu C, Yang Y, Zhang Q, Dai Y, Xia J, Song N.","J Sex Med. 2026 Feb 6;23(3):qdag026. doi: 10.1093/jsxmed/qdag026.","Luan J","J Sex Med","2026","2026/02/20","","","10.1093/jsxmed/qdag026"
"41718686","A train-the-trainer curriculum to scale up artificial intelligence-supported echocardiography for rheumatic heart disease screening in a public health care system","Nakagaayi D, Pulle J, Atala J, Oyella LM, de Loizaga S, Minja NW, Ollberding NJ, Fall N, Nakitto M, Sarnacki R, Rwebembera J, Okello E, Beaton A, Sable C.","Cardiovasc J Afr. 2025 Oct 27;36(4):560-569. doi: 10.5830/CVJA-2025-077. Epub 2025 Oct 24.","Nakagaayi D","Cardiovasc J Afr","2025","2026/02/20","","","10.5830/CVJA-2025-077"
"41718624","Rapid AI-assisted Poincaré plot analysis for early detection of subclinical left ventricular dysfunction in hypertensive patients admitted to the emergency department: A prospective observational study","Arıkan E, Özel F, Aslan R, Özmen M, Ardahanlı A, Ardahanlı İ.","Cardiovasc J Afr. 2025 Oct 27;36(4):491-498. doi: 10.5830/CVJA-2025-069. Epub 2025 Oct 24.","Arıkan E","Cardiovasc J Afr","2025","2026/02/20","","","10.5830/CVJA-2025-069"
"41713696","Advances in computational methods for PROTAC drug discovery","Martinez-Cortés MS, Velázquez-Martínez CA, Medina-Franco JL.","Drug Discov Today. 2026 Mar;31(2):104627. doi: 10.1016/j.drudis.2026.104627. Epub 2026 Feb 17.","Martinez-Cortés MS","Drug Discov Today","2026","2026/02/19","","","10.1016/j.drudis.2026.104627"
"41713397","From modality-specific to compositional foundation models for cell biology","Bahrami M, Richter T, Schmacke NA, Egea Lavandera A, Theis FJ.","Cell Syst. 2026 Feb 18;17(2):101534. doi: 10.1016/j.cels.2026.101534.","Bahrami M","Cell Syst","2026","2026/02/19","","","10.1016/j.cels.2026.101534"
"41711384","Machine Learning for Predicting Stroke Risk Stratification Using Multiomics Data: Systematic Review","Yoo HY, Shin H, Kim EJ, Son YJ.","J Med Internet Res. 2026 Feb 19;28:e85654. doi: 10.2196/85654.","Yoo HY","J Med Internet Res","2026","2026/02/19","PMC12963974","","10.2196/85654"
"41711382","Assessment of Predictive Factors That Shorten Duration of Treatment in Patients With Multiple Myeloma Using AI: Real-World Longitudinal Study Using Data From Medical Data Vision Claims Database","Handa H, Ishida T, Ozaki S, Iida S, Wattanakamolkul K, Sakai C, Kato K, Bin-Chia Wu D, Yu D, Nemoto S, Yamashita Y, Shibahara T.","JMIR Cancer. 2026 Feb 19;12:e75586. doi: 10.2196/75586.","Handa H","JMIR Cancer","2026","2026/02/19","PMC12963979","","10.2196/75586"
"41710399","Digital Transformation and Team-Based Care: Pharmacists in Multidisciplinary Models - A Narrative Review","Alshahrani AM, Vasudevan R, Hmlan A, Mohammed Assiri A, Asiri AM, Asiri OAM, Abduh Mashni A.","J Multidiscip Healthc. 2026 Feb 11;19:576298. doi: 10.2147/JMDH.S576298. eCollection 2026.","Alshahrani AM","J Multidiscip Healthc","2026","2026/02/19","PMC12912030","","10.2147/JMDH.S576298"
"41706437","Endocrine hypertension in 2025: how AI and multiomics are revolutionizing detection","Fuentes-Mendoza JM, Concepción-Zavaleta MJ, Mendoza-Godoy JJ, Quiroz-Aldave JE, Morón-Siguas JC, Paz-Ibarra JL.","Expert Rev Cardiovasc Ther. 2026 Jan-Mar;24(3):159-184. doi: 10.1080/14779072.2026.2634025. Epub 2026 Feb 21.","Fuentes-Mendoza JM","Expert Rev Cardiovasc Ther","2026","2026/02/18","","","10.1080/14779072.2026.2634025"
"41703838","Analysis and regulation of baijiu aroma-active compounds: integrating metabolomics, sensory genomics, and artificial intelligence","Cheng W, Li N, Pan T, Zhu Q, Lan W, Liu G, Guo Y, Chen X.","Food Res Int. 2026 Mar 31;228:118375. doi: 10.1016/j.foodres.2026.118375. Epub 2026 Jan 12.","Cheng W","Food Res Int","2026","2026/02/18","","","10.1016/j.foodres.2026.118375"
"41702877","Improving machine-learning development in allergology: bridging the gap between open-access and cohort-based databases","Arnau-Soler A, Corriger J, Chantran Y, Goret J.","Curr Opin Allergy Clin Immunol. 2026 Apr 1;26(2):138-148. doi: 10.1097/ACI.0000000000001143. Epub 2026 Feb 12.","Arnau-Soler A","Curr Opin Allergy Clin Immunol","2026","2026/02/17","PMC12955954","","10.1097/ACI.0000000000001143"
"41701629","Deriving wisdom from data: The value and continued rationale for structured data in the era of artificial intelligence-driven oncology care","Emamekhoo H, Riaz IB, Martin DB, Gabriel PE, Shah NJ, Bruckner L, Arafat W, Fu P, Freimuth RR, Liebovitz DM, Stillman RC, Stapp RT, Perkins RM, Sugalski J, Heinrichs T, Tevaarwerk AJ.","Cancer. 2026 Feb 15;132(4):e70307. doi: 10.1002/cncr.70307.","Emamekhoo H","Cancer","2026","2026/02/17","","","10.1002/cncr.70307"
"41698741","Imaging mammalian lipids using desorption electrospray ionization mass spectrometry: A review","Abu Ghoush R, Geday F, Alon O, Kanchustambham VL, Noll SE, Margulis K.","Anal Chim Acta. 2026 Mar 22;1392:345143. doi: 10.1016/j.aca.2026.345143. Epub 2026 Jan 22.","Abu Ghoush R","Anal Chim Acta","2026","2026/02/16","","","10.1016/j.aca.2026.345143"
"41698269","Recent advances in AI-driven pK(a) prediction for proteins and small molecules","Huang Y.","Curr Opin Struct Biol. 2026 Apr;97:103220. doi: 10.1016/j.sbi.2026.103220. Epub 2026 Feb 15.","Huang Y","Curr Opin Struct Biol","2026","2026/02/16","","","10.1016/j.sbi.2026.103220"
"41694494","Noninvasive diagnosis of colorectal adenoma: The emerging potential of blood-based biomarkers","Qi CY, Wang R, Wang JW, Ye GL, Yang P, Zhou YP.","World J Gastroenterol. 2026 Feb 21;32(7):114538. doi: 10.3748/wjg.v32.i7.114538.","Qi CY","World J Gastroenterol","2026","2026/02/16","PMC12898864","","10.3748/wjg.v32.i7.114538"
"41693090","Computational approaches to multimodal data integration in rheumatoid arthritis: from data landscape to clinical translation","Xu D, Tang Y, Luo J, Wen C.","Brief Bioinform. 2026 Jan 7;27(1):bbag073. doi: 10.1093/bib/bbag073.","Xu D","Brief Bioinform","2026","2026/02/16","PMC12907022","","10.1093/bib/bbag073"
"41692706","Toward Timely Diagnosis of Pancreatic Cancer: Revolutionizing Early Detection Through Genomics, Artificial Intelligence, and Noninvasive Biomarkers","Hussain MM, Qammar S, Wang JM, Zhai AQ, Li FY, Hu HJ.","J Gastroenterol Hepatol. 2026 Mar;41(3):895-913. doi: 10.1111/jgh.70281. Epub 2026 Feb 15.","Hussain MM","J Gastroenterol Hepatol","2026","2026/02/15","PMC12969253","","10.1111/jgh.70281"
"41691951","Computational standards and tools for exposome-wide association studies linking the human exposome with health outcomes","Sarigiannis D, Anesti O, Papaioannou N, Karakoltzidis A, Karakitsios S.","Environ Int. 2026 Feb;208:110117. doi: 10.1016/j.envint.2026.110117. Epub 2026 Feb 3.","Sarigiannis D","Environ Int","2026","2026/02/15","","","10.1016/j.envint.2026.110117"
"41690335","A unified survey on drug-target interaction and binding affinity prediction: Models, representations, and challenges","Wang Y, Lv J, Xia Y, Xu J, Meng Y, Cui F, Wei L, Zou Q, Zhang Z.","Biotechnol Adv. 2026 May-Jun;88:108843. doi: 10.1016/j.biotechadv.2026.108843. Epub 2026 Feb 12.","Wang Y","Biotechnol Adv","2026","2026/02/14","","","10.1016/j.biotechadv.2026.108843"
"41690236","Deep learning for psychiatric genomics: from tools to applications","Liu J, Xu S, Sun D, Wang C, Zhang J.","Curr Opin Genet Dev. 2026 Apr;97:102442. doi: 10.1016/j.gde.2026.102442. Epub 2026 Feb 14.","Liu J","Curr Opin Genet Dev","2026","2026/02/14","","","10.1016/j.gde.2026.102442"
