pmid,title,year,doi,cited_by_count,cluster,cluster_label,cluster_name,study_design,abstract
,a pilot study on automatic three-dimensional quantification of barrett's esophagus for risk stratification and therapy monitoring,2021,10.1053/j.gastro.2021.05.059,0,20,"deep, learning, segmentation, risk, based","deep, learning, segmentation, risk, based",Implementation Study,
,prediction of false-positive severe acute respiratory syndrome coronavirus 2 (sars-cov-2) molecular results in a high-throughput open-platform system,2021,10.1016/j.jmoldx.2021.05.015,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,a blood rna transcriptome signature for covid-19,2021,10.1186/s12920-021-01006-w,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,applications of machine learning in the chemical pathology laboratory,2021,10.1136/jclinpath-2021-207393,0,19,"learning, machine, clinical, based, patients","learning, machine, clinical, based, patients",Other,
,future of biomarker evaluation in the realm of artificial intelligence algorithms: application in improved therapeutic stratification of patients with breast and prostate cancer,2021,10.1136/jclinpath-2020-207351,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,deepr2cov: deep representation learning on heterogeneous drug networks to discover anti-inflammatory agents for covid-19,2021,10.1093/bib/bbab226,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,"digital health, big data and smart technologies for the care of patients with systemic autoimmune diseases: where do we stand?",2021,10.1016/j.autrev.2021.102864,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,"image texture, low contrast liver lesion detectability and impact on dose: deep learning algorithm compared to partial model-based iterative reconstruction",2021,10.1016/j.ejrad.2021.109808,0,5,"learning, reconstruction, deep, mri, image","learning, reconstruction, deep, mri, image",Other,
,the state of machine learning in spine surgery: a systematic review,2022,10.1097/bsd.0000000000001208,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Review Paper,
,sequential pattern mining to predict medical in-hospital mortality from administrative data: application to acute coronary syndrome,2021,10.1155/2021/5531807,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,monitoring diagnostic safety risks in emergency departments: protocol for a machine learning study,2021,10.2196/24642,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,evaluation of computer-aided nodule assessment and risk yield (canary) in korean patients for prediction of invasiveness of ground-glass opacity nodule,2021,10.1371/journal.pone.0253204,0,20,"deep, learning, segmentation, risk, based","deep, learning, segmentation, risk, based",Other,
,deep learning for tracing esophageal motility function over time,2021,10.1016/j.cmpb.2021.106212,0,20,"deep, learning, segmentation, risk, based","deep, learning, segmentation, risk, based",Other,
,proteomics based drug repositioning applied to improve in vitro fertilization implantation: an artificial intelligence model,2021,10.1080/19396368.2021.1928792,0,1,"approach, vitro, fertilization, pharmacology, intelligence","approach, vitro, fertilization, pharmacology, intelligence",Other,
,multi-domain clinical natural language processing with medcat: the medical concept annotation toolkit,2021,10.1016/j.artmed.2021.102083,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,simultaneous imputation and classification using multigraph geometric matrix completion (mgmc): application to neurodegenerative disease classification,2021,10.1016/j.artmed.2021.102097,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,"a comprehensive scoping review of bayesian networks in healthcare: past, present and future",2021,10.1016/j.artmed.2021.102108,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Review Paper,
,abdominal multi-organ segmentation with cascaded convolutional and adversarial deep networks,2021,10.1016/j.artmed.2021.102109,0,20,"deep, learning, segmentation, risk, based","deep, learning, segmentation, risk, based",Other,
,a new approach for interpretability and reliability in clinical risk prediction: acute coronary syndrome scenario,2021,10.1016/j.artmed.2021.102113,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,ai-guided discovery of the invariant host response to viral pandemics,2021,10.1016/j.ebiom.2021.103390,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,ascertaining framingham heart failure phenotype from inpatient electronic health record data using natural language processing: a multicentre atherosclerosis risk in communities (aric) validation study,2021,10.1136/bmjopen-2020-047356,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Diagnostic Accuracy Study,
,inter-vendor performance of deep learning in segmenting acute ischemic lesions on diffusion-weighted imaging: a multicenter study,2021,10.1038/s41598-021-91467-x,0,5,"learning, reconstruction, deep, mri, image","learning, reconstruction, deep, mri, image",Other,
,a simulation-based evaluation of machine learning models for clinical decision support: application and analysis using hospital readmission,2021,10.1038/s41746-021-00468-7,0,19,"learning, machine, clinical, based, patients","learning, machine, clinical, based, patients",Other,
,3d brain glioma segmentation in mri through integrating multiple densely connected 2d convolutional neural networks,2021,10.1631/jzus.b2000381,0,8,"segmentation, deep, learning, detection, brain","segmentation, deep, learning, detection, brain",Other,
,free-breathing accelerated cardiac mri using deep learning: validation in children and young adults,2021,10.1148/radiol.2021202624,0,7,"learning, deep, cardiac, intelligence, artificial","learning, deep, cardiac, intelligence, artificial",Other,
,cancer grade model: a multi-gene machine learning-based risk classification for improving prognosis in breast cancer,2021,10.1038/s41416-021-01455-1,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,deep-learning models for the detection and incidence prediction of chronic kidney disease and type 2 diabetes from retinal fundus images,2021,10.1038/s41551-021-00745-6,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
,synthetic data in machine learning for medicine and healthcare,2021,10.1038/s41551-021-00751-8,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,brain mri deep learning and bayesian inference system augments radiology resident performance,2021,10.1007/s10278-021-00470-1,0,5,"learning, reconstruction, deep, mri, image","learning, reconstruction, deep, mri, image",Other,
,non-invasive measurement of pd-l1 status and prediction of immunotherapy response using deep learning of pet/ct images,2021,10.1136/jitc-2020-002118,0,20,"deep, learning, segmentation, risk, based","deep, learning, segmentation, risk, based",Other,
,artificial intelligence in perioperative management of major gastrointestinal surgeries,2021,10.3748/wjg.v27.i21.2758,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,a time-resolved proteomic and prognostic map of covid-19,2021,10.1016/j.cels.2021.05.005,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,deep learning for diagnosis and survival prediction in soft tissue sarcoma,2021,10.1016/j.annonc.2021.06.007,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,development and application of the ocular immune-mediated inflammatory diseases ontology enhanced with synonyms from online patient support forum conversation,2021,10.1016/j.compbiomed.2021.104542,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,single-cell rna-seq reveals fibroblast heterogeneity and increased mesenchymal fibroblasts in human fibrotic skin diseases,2021,10.1038/s41467-021-24110-y,0,14,"network, cell, human, rna, remodeling","network, cell, human, rna, remodeling",Other,
,the application and development of deep learning in radiotherapy: a systematic review,2021,10.1177/15330338211016386,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Review Paper,
,superior objective and subjective image quality of deep learning reconstruction for low-dose abdominal ct imaging in comparison with model-based iterative reconstruction and filtered back projection,2021,10.1259/bjr.20201357,0,5,"learning, reconstruction, deep, mri, image","learning, reconstruction, deep, mri, image",Other,
,rconet: deformable mutual information maximization and high-order uncertainty-aware learning for robust covid-19 detection,2021,10.1109/tnnls.2021.3086570,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,breast ultrasound tumor image classification using image decomposition and fusion based on adaptive multi-model spatial feature fusion,2021,10.1016/j.cmpb.2021.106221,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
,"leveraging big data for pattern recognition of socio-demographic and climatic factors in correlation with eye disorders in telangana state, india",2021,10.4103/ijo.ijo_3418_20,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,exploring patients' pharmacy stories: an analysis of online feedback,2021,10.1007/s11096-021-01287-2,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,mucosal biofilms are an endoscopic feature of irritable bowel syndrome and ulcerative colitis,2021,10.1053/j.gastro.2021.06.024,0,17,"convolutional, neural, based, network, using","convolutional, neural, based, network, using",Other,
,identification and validation of inferior prognostic genes associated with immune signatures and chemotherapy outcome in acute myeloid leukemia,2021,10.18632/aging.203166,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,external validation of integrated genetic-epigenetic biomarkers for predicting incident coronary heart disease,2021,10.2217/epi-2021-0123,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Diagnostic Accuracy Study,
,genomic and epigenomic biomarkers in colorectal cancer: from diagnosis to therapy,2021,10.1016/bs.acr.2021.02.008,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,"reducing variability among treatment machines using knowledge-based planning for head and neck, pancreatic, and rectal cancer",2021,10.1002/acm2.13316,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Other,
,a network pharmacology approach to determine the underlying mechanisms of action of yishen tongluo formula for the treatment of oligoasthenozoospermia,2021,10.1371/journal.pone.0252906,0,1,"approach, vitro, fertilization, pharmacology, intelligence","approach, vitro, fertilization, pharmacology, intelligence",Other,
,machine learning and network-based models to identify genetic risk factors to the progression and survival of colorectal cancer,2021,10.1016/j.compbiomed.2021.104539,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,drug repurposing: iron in the fire for older drugs,2021,10.1016/j.biopha.2021.111638,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,effective deep learning approaches for predicting covid-19 outcomes from chest computed tomography volumes,2022,10.1038/s41598-022-05532-0,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,dynamic bayesian networks for prediction of health status and treatment effect in patients with chronic lymphocytic leukemia,2022,10.1038/s41598-022-05813-8,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Other,
,incorporating uncertainty in learning to defer algorithms for safe computer-aided diagnosis,2022,10.1038/s41598-022-05725-7,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,artificial intelligence algorithm-based mri in evaluating the treatment effect of acute cerebral infarction,2022,10.1155/2022/7839922,0,7,"learning, deep, cardiac, intelligence, artificial","learning, deep, cardiac, intelligence, artificial",Other,
,a machine-learning-based algorithm improves prediction of preeclampsia-associated adverse outcomes,2022,10.1016/j.ajog.2022.01.026,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,inferring protein expression changes from mrna in alzheimer's dementia using deep neural networks,2022,10.1038/s41467-022-28280-1,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,semantic segmentation of covid-19 lesions with a multiscale dilated convolutional network,2022,10.1038/s41598-022-05527-x,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,identification of inflammation-related biomarker pro-adm for male patients with gout by comprehensive analysis,2022,10.3389/fimmu.2021.798719,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,covid-19 detection based on lung ct scan using deep learning techniques,2022,10.1155/2022/7672196,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,data-independent acquisition-based proteomics analysis correlating type 2 diabetes mellitus with osteoarthritis in total knee arthroplasty patients,2022,10.1097/md.0000000000028738,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,novel diagnostic model for bone metastases in renal cell carcinoma patients based on bone scintigraphy analyzed by computer-aided diagnosis software and bone turnover markers,2022,10.1007/s10147-021-02107-3,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
,studying patterns and predictors of hiv viral suppression using a big data approach: a research protocol,2022,10.1186/s12879-022-07047-5,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,hierarchical graph attention network for mirna-disease association prediction,2022,10.1016/j.ymthe.2022.01.041,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,developing machine learning models for prediction of mortality in the medical intensive care unit,2022,10.1016/j.cmpb.2022.106663,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,clinical evaluation of two ai models for automated breast cancer plan generation,2022,10.1186/s13014-022-01993-9,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,gastrointestinal stromal tumors diagnosis on multi-center endoscopic ultrasound images using multi-scale image normalization and transfer learning,2022,10.3233/thc-228005,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
,subtyping of human papillomavirus-positive cervical cancers based on the expression profiles of 50 genes,2022,10.3389/fimmu.2022.801639,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,medical data acquisition and internet of things technology-based cerebral stroke disease prevention and rehabilitation nursing mobile medical management system,2022,10.1155/2022/4646454,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,artificial intelligence algorithm-based computed tomography image of both kidneys in diagnosis of renal dysplasia,2022,10.1155/2022/5823720,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
,three-dimensional skin ct based on intelligent algorithm in the analysis of skin lesion sites features in children with psoriasis,2022,10.1155/2022/8195243,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
,rectified classifier chains for prediction of antibiotic resistance from multi-labelled data with missing labels,2023,10.1109/tcbb.2022.3148577,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,a network pharmacology approach to explore active compounds and pharmacological mechanisms of a patented chinese herbal medicine in the treatment of endometriosis,2022,10.1371/journal.pone.0263614,0,1,"approach, vitro, fertilization, pharmacology, intelligence","approach, vitro, fertilization, pharmacology, intelligence",Other,
,identifying obstructive sleep apnea syndrome-associated genes and pathways through weighted gene coexpression network analysis,2022,10.1155/2022/3993509,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,intelligent algorithm-based quantitative electroencephalography in evaluating cerebral small vessel disease complicated by cognitive impairment,2022,10.1155/2022/9398551,0,7,"learning, deep, cardiac, intelligence, artificial","learning, deep, cardiac, intelligence, artificial",Other,
,development and validation of a deep learning-based algorithm for colonoscopy quality assessment,2022,10.1007/s00464-021-08993-y,0,17,"convolutional, neural, based, network, using","convolutional, neural, based, network, using",Other,
,computer-aided diagnosis of vertebral compression fractures using convolutional neural networks and radiomics,2022,10.1007/s10278-022-00586-y,0,17,"convolutional, neural, based, network, using","convolutional, neural, based, network, using",Other,
,automated extraction of genes associated with antibiotic resistance from the biomedical literature,2022,10.1093/database/baab077,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,corrigendum to: predicting malignancy in pediatric thyroid nodules: early experience with machine learning for clinical decision support,2022,10.1210/clinem/dgac027,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,weather variables as important clinical predictors of bacterial diarrhoea among international travellers,2022,10.1093/jtm/taac012,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,u-net architecture with embedded inception-resnet-v2 image encoding modules for automatic segmentation of organs-at-risk in head and neck cancer radiation therapy based on computed tomography scans,2022,10.1088/1361-6560/ac530e,0,20,"deep, learning, segmentation, risk, based","deep, learning, segmentation, risk, based",Other,
,evaluation of doc'eds: a french semantic search tool to query health documents from a clinical data warehouse,2022,10.1186/s12911-022-01762-4,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,volatile organic compound profiling to explore primary graft dysfunction after lung transplantation,2022,10.1038/s41598-022-05994-2,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,big data in electrophysiology,2022,10.1007/s00399-022-00837-z,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,digital health policy and programs for hospital care in vietnam: scoping review,2022,10.2196/32392,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Review Paper,
,a recurrent machine learning model predicts intracranial hypertension in neurointensive care patients,2022,10.1093/brain/awab453,0,7,"learning, deep, cardiac, intelligence, artificial","learning, deep, cardiac, intelligence, artificial",Other,
,nudging within learning health systems: next generation decision support to improve cardiovascular care,2022,10.1093/eurheartj/ehac030,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,targeted proteomics improves cardiovascular risk prediction in secondary prevention,2022,10.1093/eurheartj/ehac055,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,convolutional mesh autoencoders for the 3-dimensional identification of fgfr-related craniosynostosis,2022,10.1038/s41598-021-02411-y,0,17,"convolutional, neural, based, network, using","convolutional, neural, based, network, using",Other,
,fused feature signatures to probe tumour radiogenomics relationships,2022,10.1038/s41598-022-06085-y,0,2,"radiomics, radiogenomics, review, lung, cancer","radiomics, radiogenomics, review, lung, cancer",Other,
,cx3cr1 acts as a protective biomarker in the tumor microenvironment of colorectal cancer,2022,10.3389/fimmu.2021.758040,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,account of deep learning-based ultrasonic image feature in the diagnosis of severe sepsis complicated with acute kidney injury,2022,10.1155/2022/8158634,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
